,0
P1,0.2778259458655068
P2,0.17156462503588088
P3,0.24661449180443107
P4,0.21182746767808425
P5,0.2863458537321204
P6,0.7072039929553808
P7,0.23754341593761996
P8,0.2807884030672847
P9,0.23214567766329886
P10,0.29482978120018277
P11,0.2995731629659666
P12,0.33447952883712784
P13,0.2295555874719053
P14,0.2943208704894742
P15,0.3036121401789531
P16,0.21619733131026297
P17,0.18138986350909558
P18,0.3365058344088032
P19,0.1718255789583525
P20,0.21912005820028835
P21,0.2547962219010165
P22,0.2795064053215359
P23,0.3122243344841822
P24,0.219062655477388
